"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TMEM132C",-2.71027089821502,6.9082702058735,-27.2906090931803,5.62658562176241e-66,7.30387079560978e-62,139.788225199358
"LOC284825",-3.21290095503635,5.15067116878673,-26.5768686939749,2.60845198896627e-64,1.69301576343856e-60,135.987029324888
"SDPR",-3.5000911316059,6.14507402076101,-25.2175027952092,4.61572580559555e-61,1.99722455608119e-57,128.572097820872
"CA4",-2.44370367950832,5.92131934113793,-24.8685730481791,3.26522372297727e-60,1.0596467286992e-56,126.631229810326
"ADH1C",-3.34906219429337,5.23344559754716,-24.8198648419423,4.29581478333948e-60,1.1152794340506e-56,126.359067928781
"PGM5-AS1",-2.22053974766473,5.85522933360389,-24.5548512919593,1.92080147861186e-59,4.15565399897676e-56,124.872986366371
"ACVR1C",-3.99131392162441,5.55074914004069,-24.4158645073571,4.22796067277981e-59,7.84045107047925e-56,124.090029014942
"ATP1A2",-2.79047264078212,5.54626603628119,-24.384419478864,5.05590824411357e-59,8.20384311460478e-56,123.912546956164
"ASPA",-2.40805741721279,5.40515133007542,-24.3370429158983,6.62093782318548e-59,8.59463938827707e-56,123.644905615174
"SLC19A3",-4.0088480278301,6.12152635703,-23.9073116983249,7.74203933859049e-58,9.13631024129483e-55,121.204142418023
"FIGF /// PIR-FIGF",-3.58723685646534,6.08365425398262,-23.8292495731227,1.21319855434464e-57,1.31237753616231e-54,120.758231898787
"LYVE1",-3.5848171860118,7.04834124464854,-23.3753098162137,1.67852948629883e-56,1.64770039969905e-53,118.149731289574
"GPD1",-2.50869169293015,6.14229203902291,-23.3655050528586,1.77704380215597e-56,1.64770039969905e-53,118.093097957705
"BHMT2",-2.11949110588682,5.39068756347994,-23.2157302859149,4.25323438603494e-56,3.5340797062646e-53,117.226449852488
"PDE3B",-3.02722331972865,5.51268572973449,-23.2116397200793,4.35600302751973e-56,3.5340797062646e-53,117.202740054847
"PCK1",-4.72316606563368,6.20561981321462,-23.1365335853374,6.75510013459693e-56,5.15811499101193e-53,116.767027146425
"BLOC1S1-RDH5 /// RDH5",-3.13751568111176,7.53131855167155,-22.9813481124918,1.67615791040239e-55,1.20878921305186e-52,115.86445758339
"GLYAT",-2.72236317927993,4.83806746649464,-22.7250698826555,7.56824609058751e-55,4.89014926849273e-52,114.367162877162
"MRAP",-2.62932965953129,5.94348079969887,-22.7175602869336,7.91103417597623e-55,4.89014926849273e-52,114.323161399423
"CIDEA",-3.24446465279462,6.89927633494277,-22.5205252607665,2.53570507821537e-54,1.49618125546881e-51,113.166079230388
"AQP7 /// LOC100509620 /// LOC101930168",-2.8845897490597,7.75975298392462,-22.2227290258634,1.48828621302961e-53,8.39975797014669e-51,111.407850915887
"SCARA5",-2.69055357383087,6.06357347983956,-22.0493372311705,4.19205427619794e-53,2.26737735663856e-50,110.378904658269
"ACSM5",-2.07005958796113,5.63079280950038,-21.9183822716296,9.18716574647565e-53,4.58686917519233e-50,109.599247887617
"AQPEP",-3.04212354627742,4.29136439226059,-21.8937912707467,1.06481288612901e-52,5.11938373142247e-50,109.452598802799
"KLB",-3.92208998301297,5.8969630611244,-21.7181532846212,3.06193597641745e-52,1.37058589344396e-49,108.402941791699
"ACADL",-2.60582139765203,4.96607380597252,-21.3950904605026,2.15836381044247e-51,8.75553769479803e-49,106.462024199478
"ANGPTL1",-2.11951487927835,5.49762170064277,-21.1241101411526,1.12167942317505e-50,4.41227896734405e-48,104.823854554485
"FHL1",-4.23549944479357,8.87524452943406,-21.1182800948131,1.1622810143012e-50,4.43752054313054e-48,104.788508505588
"GYG2",-3.57985983011223,6.94850050529015,-21.0128810140533,2.2120881567006e-50,8.20431896060872e-48,104.148766915739
"FXYD1",-2.1988552283045,7.02981621934679,-20.9632807159925,2.99595748592628e-50,1.08029233680025e-47,103.847226594466
"AKAP12",-2.5475692881916,6.18807561544317,-20.8962753210134,4.51548009942336e-50,1.58420127488148e-47,103.439385702781
"CPED1",-2.25551130124068,6.95686920830436,-20.8680835030526,5.36707987837997e-50,1.78641189490386e-47,103.267623534405
"RNF150",-2.20364412576306,5.45329247885077,-20.6913613693364,1.58876276779526e-49,5.03017792408542e-47,102.188668995806
"TNXA /// TNXB",-2.27064102535231,7.44145978291664,-20.4294574945002,7.99114490033261e-49,2.41239655700506e-46,100.582534577495
"HEPACAM /// HEPN1",-2.73490152192496,5.4127362204957,-20.192256144027,3.47622829074475e-48,1.02556635095813e-45,99.1206125815422
"LOC101930114",-3.41065247434709,6.47144484090361,-19.9805778107773,1.29833569588567e-47,3.74526570406486e-45,97.8102051900918
"CIDEC",-4.34560262226375,8.86061949067481,-19.9120035057495,1.99194981885434e-47,5.62119578229307e-45,97.384529179077
"ACACB",-2.4849399397403,7.29908123055369,-19.8964000770841,2.19588782667901e-47,6.06485529321706e-45,97.2875915435602
"TUSC5",-2.74539496056031,7.11065883538301,-19.7915885208173,4.22947889476351e-47,1.12046664352908e-44,96.6356826989772
"UHRF1",2.92026213053364,7.04777243965367,19.5189394884412,2.34131669619878e-46,5.6282651913623e-44,94.9337125433937
"SPX",-2.72818340583459,5.84466562896229,-19.4949174176903,2.72345195849284e-46,6.42784179512645e-44,94.7833359217693
"RBP4",-3.3100189179427,6.29447440695194,-19.466977904367,3.24730866456315e-46,7.52737745976684e-44,94.6083507888639
"PPP1R1A",-3.35926360163936,6.90361015554939,-19.4450030562248,3.72944389466085e-46,8.49331775378815e-44,94.4706577817535
"TNMD",-3.40421790349685,5.98997100875744,-19.4401437058449,3.84540389088098e-46,8.60641170819414e-44,94.4402017322987
"ITGA7",-2.65541278481011,7.14916368630982,-19.4353667866254,3.9629211293277e-46,8.71909816606828e-44,94.4102596161743
"ITIH5",-3.15607198356141,6.91967940987694,-19.4272632329091,4.17057427406758e-46,9.02303744194521e-44,94.3594597539264
"PALMD",-2.66771685257575,6.42383088629454,-19.4113421576617,4.61087619985453e-46,9.65383612101801e-44,94.2596306600114
"CCDC69",-2.98170265395195,6.29139673930551,-19.178909382829,2.00248966944667e-45,3.99912590755188e-43,92.7988469174791
"PPARG",-3.47845893822958,6.98055581435167,-19.1600855715955,2.25600574505012e-45,4.43715311765084e-43,92.6802689761849
"RP11-736K20.5",-2.09986233487598,5.74555004971627,-19.0335606611083,5.03233080953928e-45,9.42190511670882e-43,91.8821829292878
"HSPB2",-2.02273012542144,6.8739391582255,-18.9498319236522,8.56600940783709e-45,1.5443801128213e-42,91.3530341430493
"EMP1",-2.05270823805982,6.96247112616787,-18.9241849597431,1.0083420434281e-44,1.77635122935038e-42,91.1907904396661
"SLC7A10",-2.28426986243884,6.0303190937982,-18.9235172180729,1.01263377992395e-44,1.77635122935038e-42,91.1865652796018
"TMEM100",-3.57240283152394,6.05164676315702,-18.8063723232689,2.1349317142649e-44,3.64651955037798e-42,90.4445439098514
"MYZAP",-2.90108383732747,6.9313049759933,-18.7782784750846,2.5536941153692e-44,4.24993632200098e-42,90.2663607414917
"CDKN2C",-2.07198829547229,7.74482942095431,-18.7334452151117,3.39922681341917e-44,5.58548902088535e-42,89.9818251794702
"GNG11",-2.05342931364399,6.79530980994701,-18.6880563619417,4.54181547818409e-44,7.2786798422602e-42,89.693533885113
"MAOA",-3.60276530294106,7.34276274276449,-18.6666472041896,5.20744757760734e-44,8.14432253071336e-42,89.55747177048
"MARC1",-2.52560288791671,8.04390072693193,-18.6514514703713,5.7384655826695e-44,8.86797877721819e-42,89.4608669363666
"ALDH1A1",-3.36469580678947,7.80843679701818,-18.5582700891895,1.0414355401655e-43,1.5904558525751e-41,88.867917313708
"LRRN4CL",-2.78574776265679,6.66079276322377,-18.5459957409078,1.12657110435331e-43,1.70046738437329e-41,88.7897390904881
